"","run","otu1","otu2","sig.residCor"
"350","run1","ITSall_OTUa_9211","ITSall_OTUc_2872",0.147718215851527
"351","run1","ITSall_OTUa_9211","ITSall_OTUc_577",0.0453045998469349
"356","run1","ITSall_OTUa_9211","ITSall_OTUc_967",0.0985747090959063
"360","run1","ITSall_OTUa_9211","ITSall_OTUd_1277",0.0403161409813993
"363","run1","ITSall_OTUa_9211","ITSall_OTUd_469",0.14243526032041
"367","run1","ITSall_OTUa_9211","ITSall_OTUd_361",0.060354009167396
"368","run1","ITSall_OTUa_9211","ITSall_OTUd_419",0.112987821283766
"370","run1","ITSall_OTUa_9211","ITSall_OTUd_557",0.091210286521478
"373","run1","ITSall_OTUa_9211","ITSall_OTUd_533",0.153861198886834
"379","run1","ITSall_OTUa_9211","ITSall_OTUd_168",0.0590714549198408
"380","run1","ITSall_OTUa_9211","ITSall_OTUd_146",0.0557988370511888
"388","run1","ITSall_OTUa_9211","ITSall_OTUd_85",0.0353978058530458
"394","run1","ITSall_OTUa_9211","ITSall_OTUd_340",0.0886224941212829
"395","run1","ITSall_OTUa_9211","ITSall_OTUd_341",0.109928609116621
"396","run1","ITSall_OTUa_9211","ITSall_OTUd_349",0.0540950682286675
"400","run1","ITSall_OTUa_9211","ITSall_OTUd_221",0.0864765956437683
"404","run1","ITSall_OTUa_9211","ITSall_OTUd_1055",0.153806483810951
"405","run1","ITSall_OTUa_9211","ITSall_OTUd_769",0.154549279069926
"406","run1","ITSall_OTUa_9211","ITSall_OTUd_721",0.0827531305364422
"407","run1","ITSall_OTUa_9211","ITSall_OTUd_872",0.161529388240355
"412","run1","ITSall_OTUa_7022","ITSall_OTUa_5756",-0.111198468111208
"413","run1","ITSall_OTUa_7022","ITSall_OTUa_5702",0.0765680056482077
"414","run1","ITSall_OTUa_7022","ITSall_OTUa_5547",-0.0604569155371986
"416","run1","ITSall_OTUa_7022","ITSall_OTUa_6319",-0.118762977245093
"418","run1","ITSall_OTUa_7022","ITSall_OTUa_6577",0.0954603178325811
"424","run1","ITSall_OTUa_7022","ITSall_OTUa_10362",-0.153438718965784
"426","run1","ITSall_OTUa_7022","ITSall_OTUa_9957",-0.0833671105531418
"428","run1","ITSall_OTUa_7022","ITSall_OTUa_7913",0.11534015334709
"436","run1","ITSall_OTUa_7022","ITSall_OTUa_2610",-0.125977712604111
"437","run1","ITSall_OTUa_7022","ITSall_OTUa_2357",0.158713574583241
"441","run1","ITSall_OTUa_7022","ITSall_OTUa_1471",0.079204790434561
"445","run1","ITSall_OTUa_7022","ITSall_OTUa_1164",0.0736529372507566
"448","run1","ITSall_OTUa_7022","ITSall_OTUa_3958",-0.191092033390565
"455","run1","ITSall_OTUa_7022","ITSall_OTUa_3426",-0.116007011860419
"459","run1","ITSall_OTUa_7022","ITSall_OTUa_3856",-0.0738247798871468
"460","run1","ITSall_OTUa_7022","ITSall_OTUb_6068",0.263963651783857
"466","run1","ITSall_OTUa_7022","ITSall_OTUb_8287",-0.1745391725308
"468","run1","ITSall_OTUa_7022","ITSall_OTUb_7195",-0.136921187011628
"470","run1","ITSall_OTUa_7022","ITSall_OTUb_7634",0.104622363065692
"475","run1","ITSall_OTUa_7022","ITSall_OTUb_2612",-0.0885021275035037
"477","run1","ITSall_OTUa_7022","ITSall_OTUb_2480",-0.136180098421122
"478","run1","ITSall_OTUa_7022","ITSall_OTUb_3185",0.05026596522997
"479","run1","ITSall_OTUa_7022","ITSall_OTUb_2893",-0.060412419841771
"480","run1","ITSall_OTUa_7022","ITSall_OTUb_3013",-0.107389211583609
"482","run1","ITSall_OTUa_7022","ITSall_OTUc_2088",0.198768818994521
"484","run1","ITSall_OTUa_7022","ITSall_OTUc_2872",-0.127746834856114
"507","run1","ITSall_OTUa_7022","ITSall_OTUd_533",-0.199363145845855
"513","run1","ITSall_OTUa_7022","ITSall_OTUd_168",-0.087764544343615
"514","run1","ITSall_OTUa_7022","ITSall_OTUd_146",-0.094599336537293
"516","run1","ITSall_OTUa_7022","ITSall_OTUd_154",0.139134472940708
"519","run1","ITSall_OTUa_7022","ITSall_OTUd_9",0.198555215001205
"536","run1","ITSall_OTUa_7022","ITSall_OTUd_254",0.108932022639813
"542","run1","ITSall_OTUa_7022","ITSall_OTUd_4405",0.28483920288312
"544","run1","ITSall_OTUa_7145","ITSall_OTUa_6850",0.106823152470766
"549","run1","ITSall_OTUa_7145","ITSall_OTUa_6319",0.240317687022849
"550","run1","ITSall_OTUa_7145","ITSall_OTUa_6382",0.210998118715161
"554","run1","ITSall_OTUa_7145","ITSall_OTUa_9644",0.0984369939796366
"555","run1","ITSall_OTUa_7145","ITSall_OTUa_9254",0.0710109299322251
"556","run1","ITSall_OTUa_7145","ITSall_OTUa_10202",0.129846227511948
"557","run1","ITSall_OTUa_7145","ITSall_OTUa_10362",0.24124060967137
"559","run1","ITSall_OTUa_7145","ITSall_OTUa_9957",0.0857269160932763
"561","run1","ITSall_OTUa_7145","ITSall_OTUa_7913",-0.0791562952625916
"565","run1","ITSall_OTUa_7145","ITSall_OTUa_1637",0.0841470633602158
"569","run1","ITSall_OTUa_7145","ITSall_OTUa_2610",0.23662304620596
"571","run1","ITSall_OTUa_7145","ITSall_OTUa_2433",0.0724808192950767
"577","run1","ITSall_OTUa_7145","ITSall_OTUa_1435",0.0955598864323578
"578","run1","ITSall_OTUa_7145","ITSall_OTUa_1164",-0.0529331344478057
"581","run1","ITSall_OTUa_7145","ITSall_OTUa_3958",0.17810698949018
"583","run1","ITSall_OTUa_7145","ITSall_OTUa_5030",0.0836876028248549
"584","run1","ITSall_OTUa_7145","ITSall_OTUa_5220",0.202553809610872
"588","run1","ITSall_OTUa_7145","ITSall_OTUa_3426",0.108735089562853
"590","run1","ITSall_OTUa_7145","ITSall_OTUa_3123",0.0666501177999163
"592","run1","ITSall_OTUa_7145","ITSall_OTUa_3856",0.129847569313793
"594","run1","ITSall_OTUa_7145","ITSall_OTUb_6617",0.0966818468061806
"595","run1","ITSall_OTUa_7145","ITSall_OTUb_6625",0.13187771098297
"596","run1","ITSall_OTUa_7145","ITSall_OTUb_6268",0.146625151883259
"598","run1","ITSall_OTUa_7145","ITSall_OTUb_8054",0.17428690807494
"599","run1","ITSall_OTUa_7145","ITSall_OTUb_8287",0.231529496033458
"600","run1","ITSall_OTUa_7145","ITSall_OTUb_8000",0.195281085306709
"601","run1","ITSall_OTUa_7145","ITSall_OTUb_7195",0.270614708700008
"602","run1","ITSall_OTUa_7145","ITSall_OTUb_7600",0.165286830504408
"604","run1","ITSall_OTUa_7145","ITSall_OTUb_7311",0.150710766314469
"608","run1","ITSall_OTUa_7145","ITSall_OTUb_2612",0.198241251842153
"610","run1","ITSall_OTUa_7145","ITSall_OTUb_2480",0.2008999448953
"612","run1","ITSall_OTUa_7145","ITSall_OTUb_2893",0.0817516100139801
"613","run1","ITSall_OTUa_7145","ITSall_OTUb_3013",0.284609737152925
"617","run1","ITSall_OTUa_7145","ITSall_OTUc_2872",0.305791463528954
"618","run1","ITSall_OTUa_7145","ITSall_OTUc_577",0.0992592441943355
"620","run1","ITSall_OTUa_7145","ITSall_OTUc_723",0.0848702247455639
"623","run1","ITSall_OTUa_7145","ITSall_OTUc_967",0.20340028905597
"627","run1","ITSall_OTUa_7145","ITSall_OTUd_1277",0.086176345033252
"628","run1","ITSall_OTUa_7145","ITSall_OTUd_8215",0.189807772744541
"630","run1","ITSall_OTUa_7145","ITSall_OTUd_469",0.288974935899503
"633","run1","ITSall_OTUa_7145","ITSall_OTUd_517",0.131689613375671
"634","run1","ITSall_OTUa_7145","ITSall_OTUd_361",0.122096782006987
"635","run1","ITSall_OTUa_7145","ITSall_OTUd_419",0.229477149039833
"637","run1","ITSall_OTUa_7145","ITSall_OTUd_557",0.193067228343606
"640","run1","ITSall_OTUa_7145","ITSall_OTUd_533",0.308882569426602
"641","run1","ITSall_OTUa_7145","ITSall_OTUd_596",0.128310691608529
"646","run1","ITSall_OTUa_7145","ITSall_OTUd_168",0.122463069571453
"647","run1","ITSall_OTUa_7145","ITSall_OTUd_146",0.12424664332483
"649","run1","ITSall_OTUa_7145","ITSall_OTUd_154",-0.0870294453440666
"653","run1","ITSall_OTUa_7145","ITSall_OTUd_80",0.0594046950964905
"655","run1","ITSall_OTUa_7145","ITSall_OTUd_85",0.0810876493683127
"656","run1","ITSall_OTUa_7145","ITSall_OTUd_86",-0.0655031465356977
"661","run1","ITSall_OTUa_7145","ITSall_OTUd_340",0.182498231098374
"662","run1","ITSall_OTUa_7145","ITSall_OTUd_341",0.224570369492755
"663","run1","ITSall_OTUa_7145","ITSall_OTUd_349",0.106878070575653
"666","run1","ITSall_OTUa_7145","ITSall_OTUd_217",0.0654958181855691
"667","run1","ITSall_OTUa_7145","ITSall_OTUd_221",0.16867728069692
"671","run1","ITSall_OTUa_7145","ITSall_OTUd_1055",0.328659929827492
"672","run1","ITSall_OTUa_7145","ITSall_OTUd_769",0.31935005461988
"673","run1","ITSall_OTUa_7145","ITSall_OTUd_721",0.1658386930746
"674","run1","ITSall_OTUa_7145","ITSall_OTUd_872",0.336171950634251
"812","run1","ITSall_OTUa_6850","ITSall_OTUa_6319",0.18754281591792
"813","run1","ITSall_OTUa_6850","ITSall_OTUa_6382",0.313182671669064
"819","run1","ITSall_OTUa_6850","ITSall_OTUa_10202",0.270806775822288
"820","run1","ITSall_OTUa_6850","ITSall_OTUa_10362",0.166675744698963
