"","community","codeStem","mean","se","n","upper","lower","time13","time25","time37","time59","time7","size"
"99","basid","EUTE2",29,NA,1,NA,NA,NA,0.193162595519858,0.0155499974680097,0.139625629353786,-0.00453234267909563,"large"
"100","basid","eute3",9,NA,1,NA,NA,-0.0274305250490313,NA,-0.026007026877433,-0.0551331095477677,-0.00887515023545603,"small"
"101","basid","EUTE3",19,NA,1,NA,NA,0.00851420706942605,0.0200696773190684,NA,0.191070805448947,-0.00236784612882528,"large"
"102","basid","excu1",8,NA,1,NA,NA,0.0571188892880408,0.123019739304221,NA,0.120763765750768,0.0728977676588253,"small"
"103","basid","EXCU1",21,NA,1,NA,NA,0.00447525987627506,-0.0181865935045636,-0.185265237324599,-0.0237817220322947,-0.0205417075070642,"large"
"104","basid","excu2",33,NA,1,NA,NA,NA,-0.265869012466226,-0.140479632376766,0.0851238558825723,-0.0248525994466024,"small"
"105","basid","EXCU2",31,NA,1,NA,NA,-0.0135782930702487,-0.0187848431298919,-0.0498851164763055,-0.228869804500768,-0.072394143059471,"large"
"106","basid","excu3",4,NA,1,NA,NA,0.0325032860814551,-0.0318057639368568,0.197170106391048,-0.130760872526805,NA,"small"
"107","basid","EXCU3",39,NA,1,NA,NA,-0.0128259458654235,-0.0509452072000526,-0.131810264178579,-0.144215068925639,-0.0336437319225332,"large"
"108","basid","jasc1",16,NA,1,NA,NA,-0.0102976587082132,-0.182987956459948,-0.0605485774202427,-0.0553215969223582,-0.0416185992028152,"small"
"109","basid","JASC1",13,NA,1,NA,NA,-0.0518366630196306,-0.00182172976847211,-0.249296994646176,0.0312775574187251,0.00595896189794785,"large"
"110","basid","jasc2",11,NA,1,NA,NA,-0.0220573973168988,-0.0237813336058366,0.0100903761945835,0.0569689121300695,0.0624716845937884,"small"
"111","basid","JASC2",12,NA,1,NA,NA,-0.0241855511629582,0.0138619824636737,0.0317558045810641,0.0469498770934011,-0.014391148589712,"large"
"112","basid","jasc3",16,NA,1,NA,NA,-0.0705635758290189,0.225057344809595,-0.150208974146471,-0.0772698898082202,-0.0234385438401742,"small"
"113","basid","JASC3",10,NA,1,NA,NA,0.0248949973727437,-0.0438789237761685,-0.165605493503275,-0.0753453038002409,0.0468906725637376,"large"
"114","basid","LEPA1",21,NA,1,NA,NA,0.00278148273090665,-0.0430159163993602,0.0915155264040743,0.0131636152286634,0.0126552690318245,"large"
"115","basid","lepa2",14,NA,1,NA,NA,-0.0535518770107122,NA,-0.0209912434126867,0.0810373536451541,0.00885771885255221,"small"
"116","basid","LEPA2",11,NA,1,NA,NA,0.00898798172954025,0.0365787799649551,-0.0706606448764519,0.0297893387229307,0.0208288292562771,"large"
"117","basid","lepa3",15,NA,1,NA,NA,0.133028034852413,0.00181398935596045,0.0656180561059113,-0.312653797422974,0.00572805252580827,"small"
"118","basid","LEPA3",20,NA,1,NA,NA,0.0690996221960369,-0.193465337631496,0.0239227639758403,0.284624489710775,0.0641685570343628,"large"
"119","basid","LEPA4",10,NA,1,NA,NA,-0.00515493482876743,NA,0.0878412354355674,-0.340506866633905,-0.0438048453041036,"large"
"120","basid","mede1",8,NA,1,NA,NA,NA,-0.138592711539937,0.0972044144733135,0.0471082841248423,-0.0328699775362123,"small"
"121","basid","MEDE1",19,NA,1,NA,NA,-0.0637306340713709,0.0182763769044473,-0.0610650294496138,-0.137315075400953,0.00144195894281804,"large"
"122","basid","mede2",18,NA,1,NA,NA,0.0388790806282388,-0.0654067173279715,NA,0.0742251753159949,-0.142173916759064,"small"
"123","basid","MEDE2",21,NA,1,NA,NA,-0.00152500565410376,NA,-0.116715305274815,0.0831274333028706,0.0427862593894872,"large"
"124","basid","mede3",24,NA,1,NA,NA,0.0563467209096405,0.109870766497179,0.114033708274791,0.195154808017387,0.00557500979055449,"small"
"125","basid","MEDE3",13,NA,1,NA,NA,0.06265085232016,0.0501874384268497,0.104116831790047,-0.0283433386066603,0.0660959567934726,"large"
"126","basid","peli1",8,NA,1,NA,NA,0.0969776368816739,0.176235497810558,0.282340826703716,-0.0121003503041677,-0.100024584953484,"small"
"127","basid","PELI1",7,NA,1,NA,NA,-0.0157353665349151,0.122689465969384,-0.034284260226464,-0.14380259959858,-0.057386149869748,"large"
"128","basid","peli2",10,NA,1,NA,NA,0.0383704336201969,-0.0149936470167332,0.143006317547897,-0.0868550211434356,-0.0206416236374683,"small"
"129","basid","PELI2",25,NA,1,NA,NA,NA,-0.152152811022296,NA,-0.288103003869255,-0.139174185038832,"large"
"130","basid","peli3",23,NA,1,NA,NA,0.00226913692483978,0.0872084324046758,-0.0631732151893621,-0.204333227626515,0.0504119327092329,"small"
"131","basid","PELI3",10,NA,1,NA,NA,-0.0339214081859273,NA,0.143256361324783,0.13396897156872,-0.0183236381180616,"large"
"132","basid","pepu1",34,NA,1,NA,NA,-0.0207520658561552,0.141220643168835,0.0579789843613589,0.0118611576304025,0.0192271951322951,"small"
"133","basid","PEPU1",18,NA,1,NA,NA,0.00448243982392899,0.0969366381357683,0.178977624211467,0.0356795077098216,-0.00365377202158719,"large"
"134","basid","pepu2",15,NA,1,NA,NA,0.0825610426352472,0.0550135640406385,0.315875835432377,NA,0.0614035254193982,"small"
"135","basid","PEPU2",25,NA,1,NA,NA,0.0096447264051116,-0.0776916762178271,-0.121559944433217,0.065756773698816,0.0336322809265231,"large"
"136","basid","pepu3",11,NA,1,NA,NA,0.0590950935935641,0.0672340280340834,NA,-0.159979514876579,0.0250632777369,"small"
"137","basid","PEPU3",18,NA,1,NA,NA,0.0341249823295843,-0.184720357248347,-0.143755186118549,0.164626163328082,0.0139050628273305,"large"
"138","basid",NA,21.6111111111111,1.58828937518634,36,23.1994004862974,20.0228217359248,NA,NA,NA,NA,NA,"small"
"139","oo","acpa1",0,NA,1,NA,NA,0.0363734811460115,0.0905345418334568,0.0787417021306271,-0.0921202427159935,0.0287714857825103,"small"
"140","oo","ACPA1",0,NA,1,NA,NA,0.00166102928936471,0.0500430666792444,0.111123160006823,0.0921587648792889,0.00593786613411,"large"
"141","oo","acpa3",0,NA,1,NA,NA,-0.059803414650369,-0.028028385221494,-0.0714355644780653,NA,-0.0629930071171932,"small"
"142","oo","ACPA3",0,NA,1,NA,NA,-0.0634011905860516,0.0572232760678094,-0.024029969711269,0.0152461752369119,-0.051724171150552,"large"
"143","oo","acpa4",0,NA,1,NA,NA,0.0804103467682142,0.179518280795456,0.161365229093693,0.132395571602845,NA,"small"
"144","oo","ACPA4",0,NA,1,NA,NA,-0.0508755504725993,-0.0426200753649515,0.122928604551035,0.083926632082262,0.00698534170864475,"large"
"145","oo","alli1",0,NA,1,NA,NA,0.00911133633874658,-0.0635881001004349,0.108754746976943,0.0344833326420297,-0.0524847425831161,"small"
"146","oo","ALLI1",1,NA,1,NA,NA,-0.0888331387230077,0.0504979977028259,0.129736090160038,-0.107596553383402,-0.0198796705833691,"large"
"147","oo","alli2",0,NA,1,NA,NA,0.00884722238913506,-0.0349373793232263,-0.0621030720727057,-0.0439162463455789,-0.0653000980270234,"small"
"148","oo","ALLI2",0,NA,1,NA,NA,-0.0881167931351037,-0.00197249795446347,-0.055921213163895,-0.146333778431435,-0.0495695440057033,"large"
"149","oo","alli3",0,NA,1,NA,NA,-0.0118313770404028,0.138130808540502,0.129017989163849,0.0546875677977852,0.0496382303594336,"small"
"150","oo","ALLI3",2,NA,1,NA,NA,0.0132577421397836,0.177898751183421,0.155123684100254,0.137757702795593,0.00983964377139429,"large"
