"","code","species","size","waterperc","density","barkthick","C","N","P","K","Ca","Fe","Mn","Zn","Arabinose","Galactose","Glucose","Mannose","Rhamnose","Xylose","Lignin"
"11","cali","cali","small",40.9751903489837,0.698643410789742,3.29666666666667,50.82,0.12946,0,2011.128,1347.053,2024.275,32.084,5.258,NA,NA,NA,NA,NA,NA,NA
"12","cota","cota","small",28.4807550309914,0.677295679372569,1.62333333333333,50.518,0.25475,149.404,336.485,940.237,4755.687,73.073,71.377,NA,NA,NA,NA,NA,NA,NA
"13","eusc","eusc","small",46.4586297127767,0.573270962131623,1.52,50.5436666666667,0.190023333333333,62.7166666666667,821.613666666667,3726.573,7.72233333333333,230.413,9.45333333333333,NA,NA,NA,NA,NA,NA,NA
"14","EUSC","eusc","large",57.048619583043,0.573270962131623,1.52,50.5436666666667,0.190023333333333,62.7166666666667,821.613666666667,3726.573,7.72233333333333,230.413,9.45333333333333,0.847,2.0135,39.603,0.704666666666667,0.332666666666667,13.4558333333333,34.7711666666667
"15","eute","eute","small",56.1497986214264,0.525529820982465,1.90333333333333,50.4786666666667,0.441513333333333,226.056,1983.84233333333,5574.19733333333,1103.58166666667,533.916666666667,25.8533333333333,NA,NA,NA,NA,NA,NA,NA
"16","EUTE","eute","large",48.5860945988348,0.525529820982465,1.90333333333333,52.2746666666667,0.233136666666667,102.675,131.892333333333,5099.43533333333,12.7616666666667,185.371,18.119,0.793833333333333,2.035,38.4338333333333,0.6735,0.407333333333333,11.1721666666667,38.803
"17","excu","excu","small",45.3865597792794,0.638798687031621,2.12,50.5723333333333,0.349566666666667,182.119666666667,4634.28633333333,3380.377,794.839666666667,104.014333333333,16.317,NA,NA,NA,NA,NA,NA,NA
"18","EXCU","excu","large",46.7327635647167,0.638798687031621,2.12,50.4176666666667,0.197326666666667,107.219,2112.49266666667,4083.153,12.2256666666667,66.5303333333333,6.61866666666667,1.30816666666667,2.2325,39.8425,1.91533333333333,0.500166666666667,16.0426666666667,29.0581666666667
"19","hase","hase","small",43.7206770347161,0.628892700153933,0.753333333333333,49.0395,0.114375,53.247,653.9155,1334.3055,1794.192,119.7765,12.4605,NA,NA,NA,NA,NA,NA,NA
"20","isan","isan","small",38.6795761330863,0.679924097188155,0.923333333333333,49.588,0.06088,134.195,1257.07,1059.658,603.424,108.11,23.033,NA,NA,NA,NA,NA,NA,NA
"21","jasc","jasc","small",42.8858530347664,0.687523686012589,5.04666666666667,51.3883333333333,0.800916666666667,111.506333333333,1314.07033333333,914.968,4208.955,157.198666666667,17.6963333333333,NA,NA,NA,NA,NA,NA,NA
"22","JASC","jasc","large",42.3282928522459,0.687523686012589,5.04666666666667,51.86,0.58882,92.3443333333333,380.157,738.169666666667,53.7393333333333,192.647,9.05566666666667,1.68866666666667,1.35266666666667,42.4688333333333,1.57683333333333,0.383166666666667,14.152,32.3933333333333
"23","leer","leer","small",25.7616971791262,0.744893059504094,0.71,49.98,0.26946,47.484,1022.312,3803.806,4339.512,692.971,20.355,NA,NA,NA,NA,NA,NA,NA
"24","lepa","lepa","small",38.5433602817106,0.681037969604482,2.95333333333333,50.992,0.34985,93.6193333333333,507.896666666667,2279.434,5631.934,158.038,9.39133333333333,NA,NA,NA,NA,NA,NA,NA
"25","LEPA","lepa","large",45.8402063097253,0.681037969604482,2.95333333333333,53.6,0.2481675,75.25725,216.13375,721.4775,63.44475,41.78025,4.147,1.08633333333333,1.62433333333333,30.9411666666667,1.70333333333333,0.272166666666667,12.2473333333333,47.0228333333333
"26","mede","mede","small",46.3907324212466,0.575611528219552,3.16333333333333,51.7343333333333,0.475813333333333,47.0183333333333,956.763333333333,3043.955,1560.93133333333,306.782666666667,28.025,NA,NA,NA,NA,NA,NA,NA
"27","MEDE","mede","large",49.3757784565733,0.575611528219552,3.16333333333333,52.305,0.36265,50.855,438.406,676.656333333333,31.1406666666667,57.2013333333333,4.012,0.751666666666667,1.95233333333333,44.3433333333333,1.53783333333333,0.220833333333333,10.44,37.2111666666667
"28","olst","olst","small",39.7605590077862,0.637717591512792,0.883333333333334,47.673,0.23319,83.578,5014.116,2171.139,8589.504,134.944,40.831,NA,NA,NA,NA,NA,NA,NA
"29","peli","peli","small",47.4931752391893,0.522862228845835,2.77,51.252,0.202046666666667,142.175333333333,619.626666666667,629.399,1878.773,115.323,21.4136666666667,NA,NA,NA,NA,NA,NA,NA
"30","PELI","peli","large",46.7683026501998,0.522862228845835,2.77,52.939,0.13981,92.7173333333333,309.534666666667,492.347666666667,43.5163333333333,56.4153333333333,19.331,1.34333333333333,1.22716666666667,34.4493333333333,1.9985,0.338666666666667,14.0303333333333,42.5351666666667
"31","penu","penu","small",45.5643247283277,0.592377297838106,1.3,48.732,0.14458,311.485,1489.605,584.422,7401.437,79.878,22.762,NA,NA,NA,NA,NA,NA,NA
"32","pepu","pepu","small",45.6591706354999,0.621526930477343,2.92666666666667,51.6833333333333,0.12436,60.1483333333333,275.893333333333,1198.484,2123.02133333333,68.3753333333333,65.849,NA,NA,NA,NA,NA,NA,NA
"33","PEPU","pepu","large",46.7896316101875,0.621526930477343,2.92666666666667,50.437,0.0828866666666667,69.3256666666667,466.361666666667,948.524666666667,46.6566666666667,40.029,93.096,0.8335,1.4845,45.1035,0.993333333333333,0.381666666666667,19.8691666666667,26.4276666666667
"34","ripi","ripi","small",50.4006436250079,0.44252585467781,1.15333333333333,49.998,0.40369,18.119,3287.2,6532.354,3218.096,162.635,21.241,NA,NA,NA,NA,NA,NA,NA
