"","codeStem","code","species","size","waterperc","density","barkthick","C","N","P","K","Ca","Fe","Mn","Zn","Arabinose","Galactose","Glucose","Mannose","Rhamnose","Xylose","Lignin"
"38","eusc3","eusc","eusc","small",47.1619365609349,0.555813953488372,1.4,50.5436666666667,0.190023333333333,62.7166666666667,821.613666666667,3726.573,7.72233333333333,230.413,9.45333333333333,NA,NA,NA,NA,NA,NA,NA
"39","EUSC3","EUSC","eusc","large",57.7606542714753,0.573270962131623,1.52,51.023,0.16416,61.508,743.22,2935.418,3.744,252.687,9.714,0.7895,2.1435,39.6825,0.5985,0.3385,13.173,35.5495
"40","eute1","eute","eute","small",56.1497986214264,0.525529820982465,1.90333333333333,51.099,0.21475,109.591,1628.341,4571.284,2022.97,243.6,35.65,NA,NA,NA,NA,NA,NA,NA
"41","EUTE1","EUTE","eute","large",49.623859187577,0.525529820982465,1.90333333333333,52.815,0.28168,104.657,291.341,3432.431,18.888,187.757,19.974,0.872,1.898,38.2865,0.759,0.4365,11.4925,40.0085
"42","eute2","eute","eute","small",58.637236084453,0.5,2.36,50.656,0.23504,74.431,2189.849,3310.764,449.02,121.112,15.555,NA,NA,NA,NA,NA,NA,NA
"43","EUTE2","EUTE","eute","large",49.756302432654,0.525529820982465,1.90333333333333,51.031,0.19414,183.293,86.922,4417.543,14.252,80.913,20.658,0.863,2.6455,40.4255,0.7185,0.4615,11.247,34.479
"44","eute3","eute","eute","small",54.9060798899132,0.538294731473697,1.675,49.681,0.87475,494.146,2133.337,8840.544,838.755,1237.038,26.355,NA,NA,NA,NA,NA,NA,NA
"45","EUTE3","EUTE","eute","large",47.0537582275495,0.525529820982465,1.90333333333333,52.978,0.22359,20.075,17.414,7448.332,5.145,287.443,13.725,0.6465,1.5615,36.5895,0.543,0.324,10.777,41.9215
"46","excu1","excu","excu","small",43.2432432432432,0.663294797687861,1.42,49.278,0.32444,211.753,6575.379,3871.536,728.684,115.689,11.014,NA,NA,NA,NA,NA,NA,NA
"47","EXCU1","EXCU","excu","large",46.7327635647167,0.638798687031621,2.12,50.003,0.20795,125.036,1827.75,3489.638,12.811,72.834,8.651,1.254,2.2725,40.2295,1.468,0.478,15.1075,30.5045
