OTUId,taxonomy,kingdom,phylum,genus,species,Trophic.Mode,Guild
ITSall_OTUa_6818,k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Septobasidiales;f__Septobasidiaceae;g__Septobasidium;s__Septobasidium_grandisporum;,Fungi,Basidiomycota,Septobasidium,Septobasidium_grandisporum,Pathotroph,Animal Pathogen
ITSall_OTUa_6823,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae_sedis;g__Verrucocladosporium;s__Verrucocladosporium_dirinae;,Fungi,Ascomycota,Verrucocladosporium,Verrucocladosporium_dirinae,unclassified,unclassified
ITSall_OTUa_7023,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Bipolaris;s__Bipolaris_coffeana;,Fungi,Ascomycota,Bipolaris,Bipolaris_coffeana,Pathotroph,Plant Pathogen
ITSall_OTUa_7022,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;unclassified;unclassified;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_6698,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__unclassified_Dothideales;g__unclassified_Dothideales;s__Dothideales_sp;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_6826,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Perenniporia;s__Perenniporia_ochroleuca;,Fungi,Basidiomycota,Perenniporia,Perenniporia_ochroleuca,Saprotroph,Wood Saprotroph
ITSall_OTUa_6703,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Hyphodontia;s__Hyphodontia_mollis;,Fungi,Basidiomycota,Hyphodontia,Hyphodontia_mollis,Saprotroph,Undefined Saprotroph
ITSall_OTUa_7031,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae_sedis;g__Cryptococcus;unclassified;,Fungi,Basidiomycota,Cryptococcus,unclassified,Pathotroph-Saprotroph,Animal Pathogen-Saprotroph
ITSall_OTUa_7030,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;unclassified;unclassified;unclassified;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_6821,k__Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;,Fungi,unclassified,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7029,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae_sedis;unclassified;unclassified;,Fungi,Basidiomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7028,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;unclassified;unclassified;unclassified;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7025,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae_sedis;g__Cryptococcus;s__Cryptococcus_cuniculi;,Fungi,Basidiomycota,Cryptococcus,Cryptococcus_cuniculi,Pathotroph-Saprotroph,Animal Pathogen-Saprotroph
ITSall_OTUa_7125,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Pseudoplagiostomataceae;g__Pseudoplagiostoma;s__Pseudoplagiostoma_eucalypti;,Fungi,Ascomycota,Pseudoplagiostoma,Pseudoplagiostoma_eucalypti,Pathotroph,Plant Pathogen
ITSall_OTUa_7122,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae;g__Lophodermium;unclassified;,Fungi,Ascomycota,Lophodermium,unclassified,Pathotroph,Plant Pathogen
ITSall_OTUa_7145,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;unclassified;unclassified;unclassified;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_6805,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae_sedis;g__Cryptococcus;s__Cryptococcus_uniguttulatus;,Fungi,Basidiomycota,Cryptococcus,Cryptococcus_uniguttulatus,Pathotroph-Saprotroph,Animal Pathogen-Saprotroph
ITSall_OTUa_7095,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Lachnocladiaceae;g__Dichostereum;unclassified;,Fungi,Basidiomycota,Dichostereum,unclassified,Saprotroph,Undefined Saprotroph
ITSall_OTUa_7094,k__Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;,Fungi,unclassified,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7092,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;unclassified;unclassified;unclassified;unclassified;,Fungi,Basidiomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7084,k__Fungi;p__Ascomycota;unclassified;unclassified;unclassified;unclassified;unclassified;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7081,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unclassified_Herpotrichiellaceae;s__Herpotrichiellaceae_sp;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_6666,k__Fungi;p__Ascomycota;unclassified;unclassified;unclassified;unclassified;unclassified;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7104,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;unclassified;unclassified;unclassified;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_6814,k__Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;,Fungi,unclassified,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7102,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;unclassified;unclassified;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7100,k__Fungi;p__Basidiomycota;c__Agaricomycetes;unclassified;unclassified;unclassified;unclassified;,Fungi,Basidiomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_6749,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Incertae_sedis;g__Acremonium;unclassified;,Fungi,Ascomycota,Acremonium,unclassified,Pathotroph,Plant Pathogen-Mycoparasite
ITSall_OTUa_6847,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;unclassified;unclassified;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_6934,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriaceae;g__unclassified_Chaetothyriaceae;s__Chaetothyriaceae_sp;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_6850,k__Fungi;p__Ascomycota;unclassified;unclassified;unclassified;unclassified;unclassified;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_6866,k__Fungi;p__Ascomycota;unclassified;unclassified;unclassified;unclassified;unclassified;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_6770,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Leucosporidiaceae;unclassified;unclassified;,Fungi,Basidiomycota,unclassified,unclassified,unclassified,unclassified
