"","term","Estimate","Std..Error","t.value","pval","resp","sumsq","df","statistic","p.value","etasq"
"32","Ca_s",0.0318978477409727,0.0208836012719727,1.52741126042193,0.131040153189243,"time37",0.055,1,2.333,0.131,0.022
"33","Fe_s",-0.0365474799290396,0.0291849226097035,-1.25227263466816,0.214523070107026,"time37",0.037,1,1.568,0.215,0.015
"34","Mn_s",0.00552623464348509,0.0216803800147655,0.254895654030115,0.799530359467796,"time37",0.002,1,0.065,0.8,0.001
"35","Zn_s",-0.0253173476043209,0.0168754127271789,-1.50025057245242,0.137922060936446,"time37",0.053,1,2.251,0.138,0.021
"36","size",0.107132204081003,0.0475929783104184,2.25100861270435,0.027237413169617,"time59",0.137,1,5.067,0.027,0.044
"37","waterperc_s",-0.0747554369330039,0.0306987115913675,-2.43513271592888,0.0171997273378495,"time59",0.16,1,5.93,0.017,0.051
"38","density_s",0.0183799651733402,0.0263719519376888,0.696951261581551,0.487932155873114,"time59",0.013,1,0.486,0.488,0.004
"39","C_s",0.0874800841241229,0.0223710224733956,3.91041957193316,0.000197021289996292,"time59",0.413,1,15.291,0,0.131
"40","N_s",-0.0186908922859678,0.0196820494180018,-0.949641568772434,0.345265564757506,"time59",0.024,1,0.902,0.345,0.008
"41","P_s",0.0418095964227554,0.0190025966979521,2.20020437666086,0.0307907985195861,"time59",0.131,1,4.841,0.031,0.042
"42","K_s",0.0154182355575529,0.0239720644498285,0.643175125355682,0.522021311892661,"time59",0.011,1,0.414,0.522,0.004
"43","Ca_s",0.0363813648645731,0.0225601311913832,1.61263977394196,0.110914189972775,"time59",0.07,1,2.601,0.111,0.022
"44","Mn_s",-0.0275897438850444,0.0195835485260563,-1.40882250468222,0.162913136551189,"time59",0.054,1,1.985,0.163,0.017
"45","Zn_s",-0.0238860621237144,0.0177834741490173,-1.34316061774883,0.183165537769414,"time59",0.049,1,1.804,0.183,0.016
