"","community","codeStem","mean","se","n","upper","lower","size","time13","time25","time37","time59","time7"
"106","basid","excu3",4,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"107","basid","EXCU3",39,NA,1,NA,NA,"large",-0.00240478803731276,-0.0734062006627938,-0.168589575424671,-0.042748697353395,0.0162471010376652
"108","basid","jasc1",16,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"109","basid","JASC1",13,NA,1,NA,NA,"large",-0.0318487394318747,0.0064096903233504,-0.169518095363166,0.143519616483413,0.0325371441059933
"110","basid","jasc2",11,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"111","basid","JASC2",12,NA,1,NA,NA,"large",-0.0169790394415684,-0.0391908976657744,0.117533056144285,0.146883756299803,0.00563532379339641
"112","basid","jasc3",16,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"113","basid","JASC3",10,NA,1,NA,NA,"large",0.111144917722245,0.0566525323998787,0.0493806149633427,0.172633708926653,0.081512811723333
"114","basid","LEPA1",21,NA,1,NA,NA,"large",-0.0164864206767371,0.0613324848049549,0.185477450864062,0.0747037995508136,0.0283340078313151
"115","basid","lepa2",14,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"116","basid","LEPA2",11,NA,1,NA,NA,"large",0.00197957420680297,0.0459545111260065,-0.0521884936359672,0.103110560960562,0.0253058553223096
"117","basid","lepa3",15,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"118","basid","LEPA3",20,NA,1,NA,NA,"large",0.0744164110769422,-0.0885742009755902,0.067811968603679,0.415073957064125,0.0741135419442596
"119","basid","LEPA4",10,NA,1,NA,NA,"large",-0.00784010758731821,NA,0.176964581495046,-0.252497603682582,-0.0455273051969241
"120","basid","mede1",8,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"121","basid","MEDE1",19,NA,1,NA,NA,"large",-0.0277283620258118,0.0451360598842972,-0.0370586505760847,-0.0781941879665144,-0.045046737765563
"122","basid","mede2",18,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"123","basid","MEDE2",21,NA,1,NA,NA,"large",-0.0174045295871941,NA,-0.214048966771823,-0.0022392982648119,-0.0131036962272891
"124","basid","mede3",24,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"125","basid","MEDE3",13,NA,1,NA,NA,"large",0.0532675793328364,-0.0257598288921611,0.090266069064659,-0.144020728703421,0.0141831122971813
"126","basid","peli1",8,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
